timestamp=time,id=1
timestamp=0.006387,20=1
timestamp=0.006631,223=1
timestamp=0.006863,25=1
timestamp=0.007112,B4=1
timestamp=0.007979,22=1
timestamp=0.008204,23=1
timestamp=0.011074,2C4=1
timestamp=0.012468,B0=1
timestamp=0.012716,224=1
timestamp=0.012924,B2=1
timestamp=0.013168,4C3=1
timestamp=0.014136,2D0=1
timestamp=0.018438,20=1
timestamp=0.018706,B4=1
timestamp=0.018938,25=1
timestamp=0.020036,22=1
timestamp=0.020260,23=1
timestamp=0.022330,2C1=1
timestamp=0.024536,B0=1
timestamp=0.024786,3B2=1
timestamp=0.024995,B2=1
timestamp=0.029508,2C6=1
timestamp=0.030510,20=1
timestamp=0.030755,223=1
timestamp=0.030987,25=1
timestamp=0.031235,B4=1
timestamp=0.032101,22=1
timestamp=0.032325,23=1
timestamp=0.034611,2C4=1
timestamp=0.036613,B0=1
timestamp=0.036861,224=1
timestamp=0.037069,B2=1
timestamp=0.040395,57A=1
timestamp=0.041689,540=1
timestamp=0.042565,20=1
timestamp=0.042833,B4=1
timestamp=0.043065,25=1
timestamp=0.044161,22=1
timestamp=0.044386,23=1
timestamp=0.044846,340=1
timestamp=0.045892,2D0=1
timestamp=0.048772,B0=1
timestamp=0.048922,320=1
timestamp=0.049130,B2=1
timestamp=0.054080,2C1=1
timestamp=0.054730,20=1
timestamp=0.054974,223=1
timestamp=0.055206,25=1
timestamp=0.055454,B4=1
timestamp=0.056328,22=1
timestamp=0.056550,23=1
timestamp=0.058175,2C4=1
timestamp=0.058327,540=1
timestamp=0.060813,B0=1
timestamp=0.061061,224=1
timestamp=0.061269,B2=1
timestamp=0.061513,2C6=1
timestamp=0.066767,20=1
timestamp=0.067035,B4=1
timestamp=0.067267,25=1
timestamp=0.068365,22=1
timestamp=0.068591,23=1
timestamp=0.070589,423=1
timestamp=0.072839,B0=1
timestamp=0.073065,B2=1
timestamp=0.077615,2D0=1
timestamp=0.078805,20=1
timestamp=0.079049,223=1
timestamp=0.079297,B4=1
timestamp=0.079530,25=1
timestamp=0.080407,22=1
timestamp=0.080632,23=1
timestamp=0.081710,2C4=1
timestamp=0.084896,B0=1
timestamp=0.085144,224=1
timestamp=0.085352,B2=1
timestamp=0.085804,2C1=1
timestamp=0.090848,20=1
timestamp=0.091116,B4=1
timestamp=0.091348,25=1
timestamp=0.092450,22=1
timestamp=0.092674,23=1
timestamp=0.093008,2C6=1
timestamp=0.093232,340=1
timestamp=0.096932,B0=1
timestamp=0.097082,320=1
timestamp=0.097291,B2=1
timestamp=0.102940,20=1
timestamp=0.103184,223=1
timestamp=0.103416,25=1
timestamp=0.103665,B4=1
timestamp=0.104532,22=1
timestamp=0.104755,23=1
timestamp=0.105273,2C4=1
timestamp=0.109081,B0=1
timestamp=0.109327,224=1
timestamp=0.109535,B2=1
timestamp=0.109775,2D0=1
timestamp=0.114027,56A=1
timestamp=0.115025,20=1
timestamp=0.115293,B4=1
timestamp=0.115893,25=1
timestamp=0.116613,22=1
timestamp=0.116837,23=1
timestamp=0.117574,2C1=1
timestamp=0.121103,B0=1
timestamp=0.121329,B2=1
timestamp=0.124721,2C6=1
timestamp=0.127119,20=1
timestamp=0.127363,223=1
timestamp=0.127611,B4=1
timestamp=0.127888,25=1
timestamp=0.128720,22=1
timestamp=0.128944,23=1
timestamp=0.129180,2C4=1
timestamp=0.133178,B0=1
timestamp=0.133424,224=1
timestamp=0.133632,B2=1
timestamp=0.139126,20=1
timestamp=0.139394,B4=1
timestamp=0.139892,25=1
timestamp=0.140716,22=1
timestamp=0.140940,23=1
timestamp=0.141182,2D0=1
timestamp=0.141407,340=1
timestamp=0.145206,B0=1
timestamp=0.145356,320=1
timestamp=0.145565,B2=1
timestamp=0.149288,2C1=1
timestamp=0.151156,20=1
timestamp=0.151401,223=1
timestamp=0.151649,B4=1
timestamp=0.151783,56F=1
timestamp=0.152015,25=1
timestamp=0.152369,2C4=1
timestamp=0.152753,22=1
timestamp=0.152978,23=1
timestamp=0.156481,2C6=1
timestamp=0.157238,B0=1
timestamp=0.157484,224=1
timestamp=0.157692,B2=1
timestamp=0.163243,20=1
timestamp=0.163512,B4=1
timestamp=0.163900,25=1
timestamp=0.164834,22=1
timestamp=0.165058,23=1
timestamp=0.169305,B0=1
timestamp=0.169532,B2=1
timestamp=0.170862,5D5=1
timestamp=0.172850,2D0=1
timestamp=0.175276,20=1
timestamp=0.175520,223=1
timestamp=0.175768,B4=1
timestamp=0.176000,25=1
timestamp=0.176240,2C4=1
timestamp=0.176876,22=1
timestamp=0.177099,23=1
timestamp=0.181038,2C1=1
timestamp=0.181356,B0=1
timestamp=0.181605,224=1
timestamp=0.181813,B2=1
timestamp=0.187310,20=1
timestamp=0.187579,B4=1
timestamp=0.187915,25=1
timestamp=0.188201,2C6=1
timestamp=0.188899,22=1
timestamp=0.189123,23=1
timestamp=0.189347,340=1
timestamp=0.193391,B0=1
timestamp=0.193541,320=1
timestamp=0.193749,B2=1
timestamp=0.199377,20=1
timestamp=0.199621,223=1
timestamp=0.199869,B4=1
timestamp=0.200101,25=1
timestamp=0.200346,2C4=1
timestamp=0.200970,22=1
timestamp=0.201194,23=1
timestamp=0.204582,2D0=1
timestamp=0.205474,B0=1
timestamp=0.205726,224=1
timestamp=0.205934,B2=1
timestamp=0.211424,20=1
timestamp=0.211692,B4=1
timestamp=0.211924,25=1
timestamp=0.212770,2C1=1
timestamp=0.213020,22=1
timestamp=0.213243,23=1
timestamp=0.217500,B0=1
timestamp=0.217726,B2=1
timestamp=0.219954,2C6=1
timestamp=0.223010,2C4=1
timestamp=0.223466,20=1
timestamp=0.223711,223=1
timestamp=0.223943,25=1
timestamp=0.224191,B4=1
timestamp=0.225059,22=1
timestamp=0.225283,23=1
timestamp=0.229537,B0=1
timestamp=0.229783,224=1
timestamp=0.229991,B2=1
timestamp=0.235489,20=1
timestamp=0.235757,B4=1
timestamp=0.235989,25=1
timestamp=0.236337,2D0=1
timestamp=0.237083,22=1
timestamp=0.237305,23=1
timestamp=0.237530,340=1
timestamp=0.241571,B0=1
timestamp=0.241721,320=1
timestamp=0.241930,B2=1
timestamp=0.244520,2C1=1
timestamp=0.246570,2C4=1
timestamp=0.247530,20=1
timestamp=0.247774,223=1
timestamp=0.248022,B4=1
timestamp=0.248254,25=1
timestamp=0.249126,22=1
timestamp=0.249351,23=1
timestamp=0.251683,2C6=1
timestamp=0.253671,B0=1
timestamp=0.253919,224=1
timestamp=0.254127,B2=1
timestamp=0.259636,20=1
timestamp=0.259905,B4=1
timestamp=0.260137,25=1
timestamp=0.261227,22=1
timestamp=0.261449,23=1
timestamp=0.265728,B0=1
timestamp=0.265961,B2=1
timestamp=0.268063,2D0=1
timestamp=0.270109,2C4=1
timestamp=0.271703,20=1
timestamp=0.271947,223=1
timestamp=0.272179,25=1
timestamp=0.272427,B4=1
timestamp=0.273293,22=1
timestamp=0.273515,23=1
timestamp=0.276247,2C1=1
timestamp=0.277799,B0=1
timestamp=0.278050,224=1
timestamp=0.278258,B2=1
timestamp=0.283433,2C6=1
timestamp=0.283778,20=1
timestamp=0.284046,B4=1
timestamp=0.284278,25=1
timestamp=0.285374,22=1
timestamp=0.285596,23=1
timestamp=0.285820,340=1
timestamp=0.288442,5D4=1
timestamp=0.289878,B0=1
timestamp=0.290028,320=1
timestamp=0.290237,B2=1
timestamp=0.293668,2C4=1
timestamp=0.295858,20=1
timestamp=0.296102,223=1
timestamp=0.296335,25=1
timestamp=0.296583,B4=1
timestamp=0.297451,22=1
timestamp=0.297673,23=1
timestamp=0.299815,2D0=1
timestamp=0.301955,B0=1
timestamp=0.302203,224=1
timestamp=0.302411,B2=1
timestamp=0.302597,591=1
timestamp=0.307997,2C1=1
timestamp=0.308153,20=1
timestamp=0.308421,B4=1
timestamp=0.308960,25=1
timestamp=0.309748,22=1
timestamp=0.309972,23=1
timestamp=0.314009,B0=1
timestamp=0.314236,B2=1
timestamp=0.315164,2C6=1
timestamp=0.317214,2C4=1
timestamp=0.319980,20=1
timestamp=0.320224,223=1
timestamp=0.320456,25=1
timestamp=0.320704,B4=1
timestamp=0.321572,22=1
timestamp=0.321796,23=1
timestamp=0.326052,B0=1
timestamp=0.326298,224=1
timestamp=0.326507,B2=1
timestamp=0.326757,3B2=1
timestamp=0.331540,2D0=1
timestamp=0.332005,20=1
timestamp=0.332273,B4=1
timestamp=0.332505,25=1
timestamp=0.333573,340=1
timestamp=0.333819,22=1
timestamp=0.334043,23=1
timestamp=0.338079,B0=1
timestamp=0.338229,320=1
timestamp=0.338437,B2=1
timestamp=0.339727,2C1=1
timestamp=0.340766,2C4=1
timestamp=0.344065,20=1
timestamp=0.344309,223=1
timestamp=0.344558,B4=1
timestamp=0.344972,25=1
timestamp=0.345660,22=1
timestamp=0.345882,23=1
timestamp=0.346916,2C6=1
timestamp=0.350174,B0=1
timestamp=0.350420,224=1
timestamp=0.350628,B2=1
timestamp=0.356128,20=1
timestamp=0.356396,B4=1
timestamp=0.356964,25=1
timestamp=0.357730,22=1
timestamp=0.357954,23=1
timestamp=0.362188,B0=1
timestamp=0.362338,5D7=1
timestamp=0.362546,B2=1
timestamp=0.363297,2D0=1
timestamp=0.364307,2C4=1
timestamp=0.368172,20=1
timestamp=0.368417,223=1
timestamp=0.368665,B4=1
timestamp=0.368905,420=1
timestamp=0.369137,25=1
timestamp=0.369771,22=1
timestamp=0.369995,23=1
timestamp=0.371483,2C1=1
timestamp=0.374269,B0=1
timestamp=0.374515,224=1
timestamp=0.374724,B2=1
timestamp=0.378653,2C6=1
timestamp=0.380243,20=1
timestamp=0.380512,B4=1
timestamp=0.380972,25=1
timestamp=0.381706,340=1
timestamp=0.381952,22=1
timestamp=0.382174,23=1
timestamp=0.385716,540=1
timestamp=0.386316,B0=1
timestamp=0.386466,320=1
timestamp=0.386675,B2=1
timestamp=0.387867,2C4=1
timestamp=0.392274,20=1
timestamp=0.392519,223=1
timestamp=0.392767,B4=1
timestamp=0.392999,25=1
timestamp=0.393873,22=1
timestamp=0.394095,23=1
timestamp=0.395027,2D0=1
timestamp=0.398373,B0=1
timestamp=0.398621,224=1
timestamp=0.398829,B2=1
timestamp=0.403223,2C1=1
timestamp=0.404343,20=1
timestamp=0.404611,B4=1
timestamp=0.404989,25=1
timestamp=0.405933,22=1
timestamp=0.406158,23=1
timestamp=0.410395,2C6=1
timestamp=0.410605,B0=1
timestamp=0.410832,B2=1
timestamp=0.411402,2C4=1
timestamp=0.416371,20=1
timestamp=0.416616,223=1
timestamp=0.416864,B4=1
timestamp=0.417096,25=1
timestamp=0.417962,22=1
timestamp=0.418184,23=1
timestamp=0.418482,540=1
timestamp=0.420640,4C1=1
timestamp=0.422434,B0=1
timestamp=0.422685,224=1
timestamp=0.422893,B2=1
timestamp=0.426777,2D0=1
timestamp=0.428408,20=1
timestamp=0.428677,B4=1
timestamp=0.428993,25=1
timestamp=0.429819,340=1
timestamp=0.430063,22=1
timestamp=0.430287,23=1
timestamp=0.434479,B0=1
timestamp=0.434629,320=1
timestamp=0.434837,B2=1
timestamp=0.435081,2C1=1
timestamp=0.435322,2C4=1
timestamp=0.435568,4CE=1
timestamp=0.440440,20=1
timestamp=0.440684,223=1
timestamp=0.440932,B4=1
timestamp=0.441164,25=1
timestamp=0.442032,22=1
timestamp=0.442256,23=1
timestamp=0.442501,2C6=1
timestamp=0.446502,B0=1
timestamp=0.446748,224=1
timestamp=0.446957,B2=1
timestamp=0.452456,20=1
timestamp=0.452724,B4=1
timestamp=0.453005,25=1
timestamp=0.454048,22=1
timestamp=0.454273,23=1
timestamp=0.458506,2D0=1
timestamp=0.458717,B0=1
timestamp=0.458953,2C4=1
timestamp=0.459161,B2=1
timestamp=0.464490,20=1
timestamp=0.464735,223=1
timestamp=0.464983,B4=1
timestamp=0.465215,25=1
timestamp=0.465363,526=1
timestamp=0.466081,22=1
timestamp=0.466303,23=1
timestamp=0.466696,2C1=1
timestamp=0.470551,B0=1
timestamp=0.470799,224=1
timestamp=0.471008,B2=1
timestamp=0.473877,2C6=1
timestamp=0.476613,20=1
timestamp=0.476881,B4=1
timestamp=0.477114,25=1
timestamp=0.477958,340=1
timestamp=0.478210,22=1
timestamp=0.478432,23=1
timestamp=0.482062,2C4=1
timestamp=0.482692,B0=1
timestamp=0.482842,320=1
timestamp=0.483050,B2=1
timestamp=0.488636,20=1
timestamp=0.488880,223=1
timestamp=0.489112,25=1
timestamp=0.489360,B4=1
timestamp=0.490228,22=1
timestamp=0.490450,23=1
timestamp=0.490693,2D0=1
timestamp=0.494514,57F=1
timestamp=0.494728,B0=1
timestamp=0.494975,224=1
timestamp=0.495183,B2=1
timestamp=0.498447,2C1=1
timestamp=0.500683,20=1
timestamp=0.500951,B4=1
timestamp=0.501183,25=1
timestamp=0.502283,22=1
timestamp=0.502507,23=1
timestamp=0.505491,5B8=1
timestamp=0.505729,2C4=1
timestamp=0.505973,2C6=1
timestamp=0.506769,B0=1
timestamp=0.506998,B2=1
timestamp=0.512733,20=1
timestamp=0.512977,223=1
timestamp=0.513210,25=1
timestamp=0.513458,B4=1
timestamp=0.514324,22=1
timestamp=0.514548,23=1
timestamp=0.518807,B0=1
timestamp=0.519058,224=1
timestamp=0.519266,B2=1
timestamp=0.521986,2D0=1
timestamp=0.524751,20=1
timestamp=0.525020,B4=1
timestamp=0.525252,25=1
timestamp=0.526062,340=1
timestamp=0.526342,22=1
timestamp=0.526566,23=1
timestamp=0.529162,2C4=1
timestamp=0.530172,2C1=1
timestamp=0.530844,B0=1
timestamp=0.530995,320=1
timestamp=0.531203,B2=1
timestamp=0.536824,20=1
timestamp=0.537069,223=1
timestamp=0.537317,B4=1
timestamp=0.537549,25=1
timestamp=0.537793,2C6=1
timestamp=0.538417,22=1
timestamp=0.538641,23=1
timestamp=0.542915,B0=1
timestamp=0.543163,224=1
timestamp=0.543371,B2=1
timestamp=0.548879,20=1
timestamp=0.549147,B4=1
timestamp=0.549379,25=1
timestamp=0.550467,22=1
timestamp=0.550691,23=1
timestamp=0.551595,552=1
timestamp=0.552698,2C4=1
timestamp=0.552852,56F=1
timestamp=0.553740,2D0=1
timestamp=0.554970,B0=1
timestamp=0.555196,B2=1
timestamp=0.560776,52C=1
timestamp=0.560954,20=1
timestamp=0.561198,223=1
timestamp=0.561446,B4=1
timestamp=0.561678,25=1
timestamp=0.561925,2C1=1
timestamp=0.562551,22=1
timestamp=0.562775,23=1
timestamp=0.567020,B0=1
timestamp=0.567269,224=1
timestamp=0.567477,B2=1
timestamp=0.569087,2C6=1
timestamp=0.572978,20=1
timestamp=0.573247,B4=1
timestamp=0.573479,25=1
timestamp=0.574195,340=1
timestamp=0.574571,22=1
timestamp=0.574793,23=1
timestamp=0.576263,2C4=1
timestamp=0.577202,5C8=1
timestamp=0.579091,B0=1
timestamp=0.579242,320=1
timestamp=0.579450,B2=1
timestamp=0.581296,5D2=1
timestamp=0.584344,5F8=1
timestamp=0.585112,20=1
timestamp=0.585356,223=1
timestamp=0.585604,B4=1
timestamp=0.585845,2D0=1
timestamp=0.586081,25=1
timestamp=0.586707,22=1
timestamp=0.586931,23=1
timestamp=0.591251,B0=1
timestamp=0.591497,224=1
timestamp=0.591705,B2=1
timestamp=0.592559,5CD=1
timestamp=0.593653,2C1=1
timestamp=0.597205,20=1
timestamp=0.597473,B4=1
timestamp=0.598037,25=1
timestamp=0.598801,22=1
timestamp=0.599026,23=1
timestamp=0.599272,4C7=1
timestamp=0.599804,2C4=1
timestamp=0.600840,2C6=1
timestamp=0.603316,B0=1
timestamp=0.603502,591=1
timestamp=0.603710,B2=1
timestamp=0.604924,4C6=1
timestamp=0.608040,5D5=1
timestamp=0.609340,20=1
timestamp=0.609585,223=1
timestamp=0.609833,B4=1
timestamp=0.610093,25=1
timestamp=0.610941,22=1
timestamp=0.611163,23=1
timestamp=0.615481,B0=1
timestamp=0.615727,224=1
timestamp=0.615935,B2=1
timestamp=0.617219,2D0=1
timestamp=0.621451,20=1
timestamp=0.621719,B4=1
timestamp=0.622087,25=1
timestamp=0.622311,340=1
timestamp=0.623051,22=1
timestamp=0.623276,23=1
timestamp=0.623512,2C4=1
timestamp=0.625410,2C1=1
timestamp=0.627702,B0=1
timestamp=0.627852,320=1
timestamp=0.628060,B2=1
timestamp=0.628310,3B2=1
timestamp=0.632568,2C6=1
